-0.425 -0.11 0.0892 -0.523108 0 0.0892 -0.621215 0 0.0892 -0.719323 0 0.0892 -0.81743 0 0.0892 -0.81743 -0.109 0.0892 -0.81743 -0.109 -0.0038 -0.81743 -0.301 -0.0038 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
-0.425 -0.11 0.0892 -0.523108 0 0.0892 -0.621215 0 0.0892 -0.719323 0 0.0892 -0.81743 0 0.0892 -0.81743 -0.109 0.0892 -0.81743 -0.109 -0.0038 -0.81743 -0.301 -0.0038 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
-0.425 -0.11 0.0892 -0.523108 0 0.0892 -0.621215 0 0.0892 -0.719323 0 0.0892 -0.81743 0 0.0892 -0.81743 -0.109 0.0892 -0.81743 -0.109 -0.0038 -0.81743 -0.301 -0.0038 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
-0.425 -0.11 0.0892 -0.523108 0 0.0892 -0.621215 0 0.0892 -0.719323 0 0.0892 -0.81743 0 0.0892 -0.81743 -0.109 0.0892 -0.81743 -0.109 -0.0038 -0.81743 -0.301 -0.0038 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
-0.425 -0.11 0.0892 -0.523108 0 0.0892 -0.621215 0 0.0892 -0.719323 0 0.0892 -0.81743 0 0.0892 -0.81743 -0.109 0.0892 -0.81743 -0.109 -0.0038 -0.81743 -0.301 -0.0038 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
-0.425 -0.11 0.0892 -0.523108 0 0.0892 -0.621215 0 0.0892 -0.719323 0 0.0892 -0.81743 0 0.0892 -0.81743 -0.109 0.0892 -0.81743 -0.109 -0.0038 -0.81743 -0.301 -0.0038 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
-0.425 -0.11 0.0892 -0.523108 0 0.0892 -0.621215 0 0.0892 -0.719323 0 0.0892 -0.81743 0 0.0892 -0.81743 -0.109 0.0892 -0.81743 -0.109 -0.0038 -0.81743 -0.301 -0.0038 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
-0.425 -0.11 0.0892 -0.523108 0 0.0892 -0.621215 0 0.0892 -0.719323 0 0.0892 -0.81743 0 0.0892 -0.81743 -0.109 0.0892 -0.81743 -0.109 -0.0038 -0.81743 -0.301 -0.0038 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
-0.425 -0.11 0.0892 -0.523108 0 0.0892 -0.621215 0 0.0892 -0.719323 0 0.0892 -0.81743 0 0.0892 -0.81743 -0.109 0.0892 -0.81743 -0.109 -0.0038 -0.81743 -0.301 -0.0038 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
-0.425 -0.11 0.0892 -0.523108 0 0.0892 -0.621215 0 0.0892 -0.719323 0 0.0892 -0.81743 0 0.0892 -0.81743 -0.109 0.0892 -0.81743 -0.109 -0.0038 -0.81743 -0.301 -0.0038 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
-0.425 -0.11 0.0892 -0.523108 0 0.0892 -0.621215 0 0.0892 -0.719323 0 0.0892 -0.81743 0 0.0892 -0.81743 -0.109 0.0892 -0.81743 -0.109 -0.0038 -0.81743 -0.301 -0.0038 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
-0.425 -0.11 0.0892 -0.523108 0 0.0892 -0.621215 0 0.0892 -0.719323 0 0.0892 -0.81743 0 0.0892 -0.81743 -0.109 0.0892 -0.81743 -0.109 -0.0038 -0.81743 -0.301 -0.0038 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
-0.425 -0.11 0.0892 -0.523108 0 0.0892 -0.621215 0 0.0892 -0.719323 0 0.0892 -0.81743 0 0.0892 -0.81743 -0.109 0.0892 -0.81743 -0.109 -0.0038 -0.81743 -0.301 -0.0038 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
-0.425 -0.11 0.0892 -0.523108 0 0.0892 -0.621215 0 0.0892 -0.719323 0 0.0892 -0.81743 0 0.0892 -0.81743 -0.109 0.0892 -0.81743 -0.109 -0.0038 -0.81743 -0.301 -0.0038 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
-0.425 -0.11 0.0892 -0.523108 0 0.0892 -0.621215 0 0.0892 -0.719323 0 0.0892 -0.81743 0 0.0892 -0.81743 -0.109 0.0892 -0.81743 -0.109 -0.0038 -0.81743 -0.301 -0.0038 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
-0.425 -0.11 0.0892 -0.523108 0 0.0892 -0.621215 0 0.0892 -0.719323 0 0.0892 -0.81743 0 0.0892 -0.81743 -0.109 0.0892 -0.81743 -0.109 -0.0038 -0.81743 -0.301 -0.0038 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
-0.425 -0.11 0.0892 -0.523108 0 0.0892 -0.621215 0 0.0892 -0.719323 0 0.0892 -0.81743 0 0.0892 -0.81743 -0.109 0.0892 -0.81743 -0.109 -0.0038 -0.81743 -0.301 -0.0038 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
-0.425 -0.11 0.0892 -0.523108 0 0.0892 -0.621215 0 0.0892 -0.719323 0 0.0892 -0.81743 0 0.0892 -0.81743 -0.109 0.0892 -0.81743 -0.109 -0.0038 -0.81743 -0.301 -0.0038 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
-0.425 -0.11 0.0892 -0.523108 0 0.0892 -0.621215 0 0.0892 -0.719323 0 0.0892 -0.81743 0 0.0892 -0.81743 -0.109 0.0892 -0.81743 -0.109 -0.0038 -0.81743 -0.301 -0.0038 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
-0.425 -0.11 0.0892 -0.523108 0 0.0892 -0.621215 0 0.0892 -0.719323 0 0.0892 -0.81743 0 0.0892 -0.81743 -0.109 0.0892 -0.81743 -0.109 -0.0038 -0.81743 -0.301 -0.0038 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
-0.425 -0.11 0.0892 -0.523108 0 0.0892 -0.621215 0 0.0892 -0.719323 0 0.0892 -0.81743 0 0.0892 -0.81743 -0.109 0.0892 -0.81743 -0.109 -0.0038 -0.81743 -0.301 -0.0038 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
-0.425 -0.11 0.0892 -0.523108 0 0.0892 -0.621215 0 0.0892 -0.719323 0 0.0892 -0.81743 0 0.0892 -0.81743 -0.109 0.0892 -0.81743 -0.109 -0.0038 -0.81743 -0.301 -0.0038 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
-0.425 -0.11 0.0892 -0.523108 0 0.0892 -0.621215 0 0.0892 -0.719323 0 0.0892 -0.81743 0 0.0892 -0.81743 -0.109 0.0892 -0.81743 -0.109 -0.0038 -0.81743 -0.301 -0.0038 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
-0.425 -0.11 0.0892 -0.523108 0 0.0892 -0.621215 0 0.0892 -0.719323 0 0.0892 -0.81743 0 0.0892 -0.81743 -0.109 0.0892 -0.81743 -0.109 -0.0038 -0.81743 -0.301 -0.0038 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
-0.425 -0.11 0.0892 -0.523108 0 0.0892 -0.621215 0 0.0892 -0.719323 0 0.0892 -0.81743 0 0.0892 -0.81743 -0.109 0.0892 -0.81743 -0.109 -0.0038 -0.81743 -0.301 -0.0038 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
-0.425 -0.11 0.0892 -0.523108 0 0.0892 -0.621215 0 0.0892 -0.719323 0 0.0892 -0.81743 0 0.0892 -0.81743 -0.109 0.0892 -0.81743 -0.109 -0.0038 -0.81743 -0.301 -0.0038 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
-0.425 -0.11 0.0892 -0.523108 0 0.0892 -0.621215 0 0.0892 -0.719323 0 0.0892 -0.81743 0 0.0892 -0.81743 -0.109 0.0892 -0.81743 -0.109 -0.0038 -0.81743 -0.301 -0.0038 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
-0.425 -0.11 0.0892 -0.523108 0 0.0892 -0.621215 0 0.0892 -0.719323 0 0.0892 -0.81743 0 0.0892 -0.81743 -0.109 0.0892 -0.81743 -0.109 -0.0038 -0.81743 -0.301 -0.0038 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
-0.425 -0.11 0.0892 -0.523108 0 0.0892 -0.621215 0 0.0892 -0.719323 0 0.0892 -0.81743 0 0.0892 -0.81743 -0.109 0.0892 -0.81743 -0.109 -0.0038 -0.81743 -0.301 -0.0038 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
-0.425 -0.11 0.0892 -0.523108 0 0.0892 -0.621215 0 0.0892 -0.719323 0 0.0892 -0.81743 0 0.0892 -0.81743 -0.109 0.0892 -0.81743 -0.109 -0.0038 -0.81743 -0.301 -0.0038 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
-0.425 -0.11 0.0892 -0.523108 0 0.0892 -0.621215 0 0.0892 -0.719323 0 0.0892 -0.81743 0 0.0892 -0.81743 -0.109 0.0892 -0.81743 -0.109 -0.0038 -0.81743 -0.301 -0.0038 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
-0.425 -0.11 0.0892 -0.523108 0 0.0892 -0.621215 0 0.0892 -0.719323 0 0.0892 -0.81743 0 0.0892 -0.81743 -0.109 0.0892 -0.81743 -0.109 -0.0038 -0.81743 -0.301 -0.0038 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
-0.425 -0.11 0.0892 -0.523108 0 0.0892 -0.621215 0 0.0892 -0.719323 0 0.0892 -0.81743 0 0.0892 -0.81743 -0.109 0.0892 -0.81743 -0.109 -0.0038 -0.81743 -0.301 -0.0038 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
-0.425 -0.11 0.0892 -0.523108 0 0.0892 -0.621215 0 0.0892 -0.719323 0 0.0892 -0.81743 0 0.0892 -0.81743 -0.109 0.0892 -0.81743 -0.109 -0.0038 -0.81743 -0.301 -0.0038 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
-0.425 -0.11 0.0892 -0.523108 0 0.0892 -0.621215 0 0.0892 -0.719323 0 0.0892 -0.81743 0 0.0892 -0.81743 -0.109 0.0892 -0.81743 -0.109 -0.0038 -0.81743 -0.301 -0.0038 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
-0.425 -0.11 0.0892 -0.523108 0 0.0892 -0.621215 0 0.0892 -0.719323 0 0.0892 -0.81743 0 0.0892 -0.81743 -0.109 0.0892 -0.81743 -0.109 -0.0038 -0.81743 -0.301 -0.0038 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
-0.425 -0.11 0.0892 -0.523108 0 0.0892 -0.621215 0 0.0892 -0.719323 0 0.0892 -0.81743 0 0.0892 -0.81743 -0.109 0.0892 -0.81743 -0.109 -0.0038 -0.81743 -0.301 -0.0038 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
-0.425 -0.11 0.0892 -0.523108 0 0.0892 -0.621215 0 0.0892 -0.719323 0 0.0892 -0.81743 0 0.0892 -0.81743 -0.109 0.0892 -0.81743 -0.109 -0.0038 -0.81743 -0.301 -0.0038 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
-0.425 -0.11 0.0892 -0.523108 0 0.0892 -0.621215 0 0.0892 -0.719323 0 0.0892 -0.81743 0 0.0892 -0.81743 -0.109 0.0892 -0.81743 -0.109 -0.0038 -0.81743 -0.301 -0.0038 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
-0.425 -0.11 0.0892 -0.523108 0 0.0892 -0.621215 0 0.0892 -0.719323 0 0.0892 -0.81743 0 0.0892 -0.81743 -0.109 0.0892 -0.81743 -0.109 -0.0038 -0.81743 -0.301 -0.0038 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
-0.425 -0.11 0.0892 -0.523108 0 0.0892 -0.621215 0 0.0892 -0.719323 0 0.0892 -0.81743 0 0.0892 -0.81743 -0.109 0.0892 -0.81743 -0.109 -0.0038 -0.81743 -0.301 -0.0038 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
-0.425 -0.11 0.0892 -0.523108 0 0.0892 -0.621215 0 0.0892 -0.719323 0 0.0892 -0.81743 0 0.0892 -0.81743 -0.109 0.0892 -0.81743 -0.109 -0.0038 -0.81743 -0.301 -0.0038 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
-0.425 -0.11 0.0892 -0.523108 0 0.0892 -0.621215 0 0.0892 -0.719323 0 0.0892 -0.81743 0 0.0892 -0.81743 -0.109 0.0892 -0.81743 -0.109 -0.0038 -0.81743 -0.301 -0.0038 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
-0.425 -0.11 0.0892 -0.523108 0 0.0892 -0.621215 0 0.0892 -0.719323 0 0.0892 -0.81743 0 0.0892 -0.81743 -0.109 0.0892 -0.81743 -0.109 -0.0038 -0.81743 -0.301 -0.0038 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
-0.425 -0.11 0.0892 -0.523108 0 0.0892 -0.621215 0 0.0892 -0.719323 0 0.0892 -0.81743 0 0.0892 -0.81743 -0.109 0.0892 -0.81743 -0.109 -0.0038 -0.81743 -0.301 -0.0038 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
-0.425 -0.11 0.0892 -0.523108 0 0.0892 -0.621215 0 0.0892 -0.719323 0 0.0892 -0.81743 0 0.0892 -0.81743 -0.109 0.0892 -0.81743 -0.109 -0.0038 -0.81743 -0.301 -0.0038 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
-0.425 -0.11 0.0892 -0.523108 0 0.0892 -0.621215 0 0.0892 -0.719323 0 0.0892 -0.81743 0 0.0892 -0.81743 -0.109 0.0892 -0.81743 -0.109 -0.0038 -0.81743 -0.301 -0.0038 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
-0.425 -0.11 0.0892 -0.523108 0 0.0892 -0.621215 0 0.0892 -0.719323 0 0.0892 -0.81743 0 0.0892 -0.81743 -0.109 0.0892 -0.81743 -0.109 -0.0038 -0.81743 -0.301 -0.0038 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
-0.425 -0.11 0.0892 -0.523108 0 0.0892 -0.621215 0 0.0892 -0.719323 0 0.0892 -0.81743 0 0.0892 -0.81743 -0.109 0.0892 -0.81743 -0.109 -0.0038 -0.81743 -0.301 -0.0038 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
-0.425 -0.11 0.0892 -0.523108 0 0.0892 -0.621215 0 0.0892 -0.719323 0 0.0892 -0.81743 0 0.0892 -0.81743 -0.109 0.0892 -0.81743 -0.109 -0.0038 -0.81743 -0.301 -0.0038 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
-0.425 -0.11 0.0892 -0.523108 0 0.0892 -0.621215 0 0.0892 -0.719323 0 0.0892 -0.81743 0 0.0892 -0.81743 -0.109 0.0892 -0.81743 -0.109 -0.0038 -0.81743 -0.301 -0.0038 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
-0.425 -0.11 0.0892 -0.523108 0 0.0892 -0.621215 0 0.0892 -0.719323 0 0.0892 -0.81743 0 0.0892 -0.81743 -0.109 0.0892 -0.81743 -0.109 -0.0038 -0.81743 -0.301 -0.0038 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
-0.425 -0.11 0.0892 -0.523108 0 0.0892 -0.621215 0 0.0892 -0.719323 0 0.0892 -0.81743 0 0.0892 -0.81743 -0.109 0.0892 -0.81743 -0.109 -0.0038 -0.81743 -0.301 -0.0038 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
-0.425 -0.11 0.0892 -0.523108 0 0.0892 -0.621215 0 0.0892 -0.719323 0 0.0892 -0.81743 0 0.0892 -0.81743 -0.109 0.0892 -0.81743 -0.109 -0.0038 -0.81743 -0.301 -0.0038 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
-0.425 -0.11 0.0892 -0.523108 0 0.0892 -0.621215 0 0.0892 -0.719323 0 0.0892 -0.81743 0 0.0892 -0.81743 -0.109 0.0892 -0.81743 -0.109 -0.0038 -0.81743 -0.301 -0.0038 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
-0.425 -0.11 0.0892 -0.523108 0 0.0892 -0.621215 0 0.0892 -0.719323 0 0.0892 -0.81743 0 0.0892 -0.81743 -0.109 0.0892 -0.81743 -0.109 -0.0038 -0.81743 -0.301 -0.0038 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
-0.425 -0.11 0.0892 -0.523108 0 0.0892 -0.621215 0 0.0892 -0.719323 0 0.0892 -0.81743 0 0.0892 -0.81743 -0.109 0.0892 -0.81743 -0.109 -0.0038 -0.81743 -0.301 -0.0038 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
-0.425 -0.11 0.0892 -0.523108 0 0.0892 -0.621215 0 0.0892 -0.719323 0 0.0892 -0.81743 0 0.0892 -0.81743 -0.109 0.0892 -0.81743 -0.109 -0.0038 -0.81743 -0.301 -0.0038 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
-0.425 -0.11 0.0892 -0.523108 0 0.0892 -0.621215 0 0.0892 -0.719323 0 0.0892 -0.81743 0 0.0892 -0.81743 -0.109 0.0892 -0.81743 -0.109 -0.0038 -0.81743 -0.301 -0.0038 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
-0.425 -0.11 0.0892 -0.523108 0 0.0892 -0.621215 0 0.0892 -0.719323 0 0.0892 -0.81743 0 0.0892 -0.81743 -0.109 0.0892 -0.81743 -0.109 -0.0038 -0.81743 -0.301 -0.0038 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
-0.425 -0.11 0.0892 -0.523108 0 0.0892 -0.621215 0 0.0892 -0.719323 0 0.0892 -0.81743 0 0.0892 -0.81743 -0.109 0.0892 -0.81743 -0.109 -0.0038 -0.81743 -0.301 -0.0038 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
-0.425 -0.11 0.0892 -0.523108 0 0.0892 -0.621215 0 0.0892 -0.719323 0 0.0892 -0.81743 0 0.0892 -0.81743 -0.109 0.0892 -0.81743 -0.109 -0.0038 -0.81743 -0.301 -0.0038 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
-0.425 -0.11 0.0892 -0.523108 0 0.0892 -0.621215 0 0.0892 -0.719323 0 0.0892 -0.81743 0 0.0892 -0.81743 -0.109 0.0892 -0.81743 -0.109 -0.0038 -0.81743 -0.301 -0.0038 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
-0.425 -0.11 0.0892 -0.523108 0 0.0892 -0.621215 0 0.0892 -0.719323 0 0.0892 -0.81743 0 0.0892 -0.81743 -0.109 0.0892 -0.81743 -0.109 -0.0038 -0.81743 -0.301 -0.0038 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
-0.425 -0.11 0.0892 -0.523108 0 0.0892 -0.621215 0 0.0892 -0.719323 0 0.0892 -0.81743 0 0.0892 -0.81743 -0.109 0.0892 -0.81743 -0.109 -0.0038 -0.81743 -0.301 -0.0038 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
-0.425 -0.11 0.0892 -0.523108 0 0.0892 -0.621215 0 0.0892 -0.719323 0 0.0892 -0.81743 0 0.0892 -0.81743 -0.109 0.0892 -0.81743 -0.109 -0.0038 -0.81743 -0.301 -0.0038 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
-0.425 -0.11 0.0892 -0.523108 0 0.0892 -0.621215 0 0.0892 -0.719323 0 0.0892 -0.81743 0 0.0892 -0.81743 -0.109 0.0892 -0.81743 -0.109 -0.0038 -0.81743 -0.301 -0.0038 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
-0.425 -0.11 0.0892 -0.523108 0 0.0892 -0.621215 0 0.0892 -0.719323 0 0.0892 -0.81743 0 0.0892 -0.81743 -0.109 0.0892 -0.81743 -0.109 -0.0038 -0.81743 -0.301 -0.0038 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
